usuario;timestamp;cpu_uso_geral;qtd_cpu_fisica;qtd_cpu_logica;cpu1;cpu2;cpu3;cpu4;cpu5;cpu6;cpu7;cpu8;cpu9;cpu10;cpu11;cpu12;cpu13;cpu14;cpu15;cpu16;ram_total;ram_uso;swap_total;swap_uso;proc_rodando;proc_esperando;disco_total;disco_uso;rede_enviada;rede_recebida;pacote_perdido_entrada;pacote_perdido_saida
Enzo;21/08/2026 14:16:19;9.6;8;16;11.0;4.0;20.4;13.7;17.8;7.0;15.0;25.8;8.2;3.1;12.4;2.0;7.1;2.0;4.1;0.0;5872795648;3635007488;2181033984;178397184;1;251;250375106560;43750506496;9140929;38749529;149;9
Enzo;21/08/2026 14:16:22;1.2;8;16;7.9;1.3;12.2;5.5;8.0;3.8;9.8;12.0;8.0;4.2;5.4;2.2;4.5;1.3;3.2;0.9;5872795648;3620429824;2181033984;178397184;1;248;250375106560;43750506496;9202520;38860993;149;9
Enzo;21/08/2026 14:16:26;0.6;8;16;1.9;0.3;2.9;1.3;0.6;0.0;2.3;5.1;1.3;0.3;1.0;0.0;1.0;0.3;0.0;0.3;5872795648;3615289344;2181033984;178397184;1;248;250375106560;43750506496;9206048;38898582;151;9
Enzo;21/08/2026 14:16:29;5.9;8;16;4.5;0.6;7.7;1.9;1.9;2.6;5.8;5.1;3.2;1.3;1.6;2.2;1.9;2.2;2.9;0.3;5872795648;3474800640;2181033984;178397184;2;247;250375106560;43750506496;9209343;38922457;152;9
Enzo;21/08/2026 14:16:32;0.9;8;16;2.9;0.3;5.1;2.2;1.6;2.2;5.1;4.1;4.8;1.0;1.0;0.6;0.9;1.9;1.9;0.3;5872795648;3466575872;2181033984;178397184;1;248;250375106560;43750506496;9212849;38950686;152;9
Enzo;21/08/2026 14:16:35;0.5;8;16;1.0;0.0;5.5;0.3;1.3;0.0;1.9;1.3;2.2;0.0;0.3;0.0;0.0;0.3;0.3;0.3;5872795648;3470364672;2181033984;178397184;1;248;250375106560;43750506496;9216149;38980839;152;9
Enzo;21/08/2026 14:16:38;0.9;8;16;1.9;0.0;4.8;0.6;1.0;-0.0;3.8;4.5;5.5;0.3;0.6;0.0;0.3;0.0;0.3;0.0;5872795648;3468783616;2181033984;178397184;1;248;250375106560;43750506496;9220636;38999546;152;9
Enzo;21/08/2026 14:16:41;0.4;8;16;0.3;0.6;1.9;1.0;1.3;0.0;5.4;1.0;2.3;0.3;1.3;0.0;0.3;0.0;0.0;0.0;5872795648;3465449472;2181033984;178397184;1;248;250375106560;43750506496;9224123;39031295;152;9
Enzo;21/08/2026 14:16:44;0.9;8;16;2.2;1.3;4.8;1.0;1.9;0.0;7.1;4.5;5.8;0.3;2.2;0.3;1.3;0.0;0.6;0.0;5872795648;3471077376;2181033984;178397184;1;248;250375106560;43750506496;9227641;39048084;152;9
Enzo;21/08/2026 14:16:48;0.7;8;16;0.6;0.0;2.9;0.3;1.3;0.0;7.3;3.8;1.3;0.3;1.0;0.0;0.6;0.0;0.3;0.0;5872795648;3471790080;2181033984;178397184;1;248;250375106560;43750506496;9230936;39073992;153;9
