usuariotimestamp;cpu_uso_geral;qtd_cpu_fisica;qtd_cpu_logica;cpu1;cpu2;cpu3;cpu4;cpu5;cpu6;cpu7;cpu8;cpu9;cpu10;cpu11;cpu12;cpu13;cpu14;cpu15;cpu16;ram_total;ram_uso;swap_total;swap_uso;proc_rodando;proc_esperando;disco_total;disco_uso;rede_enviada;rede_recebida;pacote_perdido_entrada;pacote_perdido_saida
gabriel;21/08/2026 13:56:43;11.5;4;8;11.3;18.0;14.1;6.9;14.3;3.0;16.3;5.1;null;null;null;null;null;null;null;null;14529867776;5366497280;536866816;0;2;188;250592460800;82620198912;28761868;131224953;350;4
gabriel;21/08/2026 13:56:46;6.1;4;8;7.7;15.1;8.9;7.2;7.9;7.5;12.7;17.9;null;null;null;null;null;null;null;null;14529867776;5354586112;536866816;0;3;185;250592460800;82620198912;28819276;131363266;351;4
gabriel;21/08/2026 13:56:49;3.8;4;8;5.6;4.6;5.9;2.0;8.8;3.9;6.6;4.3;null;null;null;null;null;null;null;null;14529867776;5356216320;536866816;0;1;187;250592460800;82620198912;28819276;131372776;351;4
gabriel;21/08/2026 13:56:52;12.2;4;8;5.3;4.3;6.3;5.6;8.6;10.5;6.6;4.6;null;null;null;null;null;null;null;null;14529867776;5353529344;536866816;0;1;187;250592460800;82620198912;28819503;131460668;353;4
gabriel;21/08/2026 13:56:55;5.2;4;8;3.6;2.0;11.8;4.3;3.3;5.9;6.6;4.9;null;null;null;null;null;null;null;null;14529867776;5354745856;536866816;0;1;187;250592460800;82620198912;28820411;131469072;354;4
gabriel;21/08/2026 13:56:58;3.3;4;8;2.0;0.7;8.1;6.5;3.3;5.5;3.3;0.7;null;null;null;null;null;null;null;null;14529867776;5351542784;536866816;0;1;187;250592460800;82620198912;28834518;131480525;355;4
gabriel;21/08/2026 13:57:01;1.3;4;8;10.0;5.6;6.6;12.1;9.8;8.3;9.1;6.9;null;null;null;null;null;null;null;null;14529867776;5328773120;536866816;0;1;188;250592460800;82620198912;28882507;132837338;355;4
gabriel;21/08/2026 13:57:04;1.0;4;8;3.3;35.6;1.3;2.3;2.3;4.9;3.2;1.0;null;null;null;null;null;null;null;null;14529867776;5471059968;536866816;0;1;187;250592460800;82620203008;28908383;133580739;357;4
gabriel;21/08/2026 13:57:07;0.8;4;8;1.6;1.0;0.7;0.6;0.7;4.9;1.0;0.6;null;null;null;null;null;null;null;null;14529867776;5473566720;536866816;0;1;187;250592460800;82620203008;28911803;133594765;357;4
gabriel;21/08/2026 13:57:10;0.6;4;8;1.3;1.0;0.7;1.3;1.0;3.3;2.0;0.3;null;null;null;null;null;null;null;null;14529867776;5471076352;536866816;0;1;187;250592460800;82620203008;28915876;133608192;357;4
