usuario;timestamp;cpu_uso_geral;qtd_cpu_fisica;qtd_cpu_logica;cpu1;cpu2;cpu3;cpu4;cpu5;cpu6;cpu7;cpu8;cpu9;cpu10;cpu11;cpu12;cpu13;cpu14;cpu15;cpu16;ram_total;ram_uso;swap_total;swap_uso;proc_rodando;proc_esperando;disco_total;disco_uso;rede_enviada;rede_recebida;pacote_perdido_entrada;pacote_perdido_saida
Leticia;21/08/2026 14:17:24;31.7;8;8;44.6;32.8;28.4;23.9;13.6;0.0;64.7;53.7;null;null;null;null;null;null;null;null;3950481408;3568451584;6710886400;700899328;203;0;126579896320;45705433088;50570829;278169070;0;0
Leticia;21/08/2026 14:17:28;6.2;8;8;18.4;13.0;10.2;6.7;2.8;1.9;47.4;41.8;null;null;null;null;null;null;null;null;3950481408;3512938496;6710886400;700899328;203;0;126579896320;45705433088;50571837;278229746;0;0
Leticia;21/08/2026 14:17:33;14.1;8;8;20.4;11.9;4.1;4.7;0.0;0.0;41.6;41.8;null;null;null;null;null;null;null;null;3950481408;3513118720;6710886400;700899328;203;0;126579896320;45705433088;50577726;278294469;0;0
Leticia;21/08/2026 14:17:38;7.1;8;8;14.9;5.0;2.7;3.7;0.7;0.0;29.4;28.8;null;null;null;null;null;null;null;null;3950481408;3509714944;6710886400;700899328;203;0;126579896320;45705433088;50579442;278364859;0;0
Leticia;21/08/2026 14:17:42;17.7;8;8;18.9;10.3;4.3;6.3;0.0;0.0;33.7;47.4;null;null;null;null;null;null;null;null;3950481408;3522195456;6710886400;700899328;203;0;126579896320;45705433088;50579698;278379357;0;0
Leticia;21/08/2026 14:17:48;43.4;8;8;27.6;22.3;17.4;14.0;6.5;4.9;54.8;50.3;null;null;null;null;null;null;null;null;3950481408;3549315072;6710886400;700899328;203;0;126579896320;45705441280;50588604;278414424;0;0
Leticia;21/08/2026 14:17:52;11.4;8;8;33.6;29.8;27.6;24.3;8.4;5.1;61.8;63.9;null;null;null;null;null;null;null;null;3950481408;3541471232;6710886400;689311744;203;0;126579896320;45705441280;50598092;278460014;0;0
Leticia;21/08/2026 14:17:57;14.0;8;8;16.4;12.3;5.4;7.0;0.0;0.0;45.8;39.1;null;null;null;null;null;null;null;null;3950481408;3517825024;6710886400;689311744;203;0;126579896320;45705441280;50600085;278603364;0;0
Leticia;21/08/2026 14:18:02;13.2;8;8;17.4;7.3;1.0;4.0;0.0;0.0;43.7;33.6;null;null;null;null;null;null;null;null;3950481408;3516030976;6710886400;689311744;203;0;126579896320;45705441280;50608769;278728437;0;0
Leticia;21/08/2026 14:18:06;12.6;8;8;9.8;7.7;3.3;4.0;0.0;0.0;36.5;37.8;null;null;null;null;null;null;null;null;3950481408;3506352128;6710886400;689311744;203;0;126579896320;45705510912;50613583;278794468;0;0
