usuario;timestamp;cpu_uso_geral;qtd_cpu_fisica;qtd_cpu_logica;cpu1;cpu2;cpu3;cpu4;cpu5;cpu6;cpu7;cpu8;cpu9;cpu10;cpu11;cpu12;cpu13;cpu14;cpu15;cpu16;ram_total;ram_uso;swap_total;swap_uso;proc_rodando;proc_esperando;disco_total;disco_uso;rede_enviada;rede_recebida;pacote_perdido_entrada;pacote_perdido_saida
Luiz;21/08/2026 14:15:25;2.0;8;16;1.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;2.0;0.0;1.0;3.0;15.0;2.0;4.0;0.0;16129032192;7922241536;2147479552;0;1;264;1006450962432;125774032896;28067798;353799969;1266;6
Luiz;21/08/2026 14:15:28;3.3;8;16;9.5;1.9;7.6;2.8;6.0;3.1;6.2;9.3;8.2;4.1;5.6;4.3;12.9;3.1;21.3;3.4;16129032192;7925870592;2147479552;0;1;264;1006450962432;125774032896;28067974;353821634;1266;6
Luiz;21/08/2026 14:15:31;4.1;8;16;4.1;0.6;1.6;0.6;2.5;0.3;1.9;1.9;5.9;1.3;1.9;2.2;7.6;1.3;6.3;0.0;16129032192;7920685056;2147479552;0;1;264;1006450962432;125774032896;28080426;353848145;1266;6
Luiz;21/08/2026 14:15:35;4.1;8;16;6.3;1.6;6.2;0.3;5.0;0.3;4.8;6.6;5.1;0.3;3.4;1.3;15.5;1.6;11.7;0.6;16129032192;7927652352;2147479552;0;1;264;1006450962432;125774032896;28083737;353913894;1266;6
Luiz;21/08/2026 14:15:38;1.9;8;16;5.3;0.6;3.8;0.6;3.2;0.6;2.8;1.3;4.7;1.3;1.9;1.6;11.4;0.6;5.7;0.0;16129032192;7937413120;2147479552;0;1;264;1006450962432;125774036992;28086954;353943112;1266;6
Luiz;21/08/2026 14:15:41;1.1;8;16;3.4;0.0;4.7;0.3;3.1;0.0;3.1;0.0;4.7;0.6;1.3;3.1;11.7;1.3;7.5;0.3;16129032192;7935721472;2147479552;0;1;264;1006450962432;125774036992;28092100;353975135;1266;6
Luiz;21/08/2026 14:15:44;0.3;8;16;3.7;0.0;4.7;0.6;4.1;0.0;2.8;0.6;2.8;0.3;1.9;1.9;12.6;0.3;4.4;0.6;16129032192;7932932096;2147479552;0;1;264;1006450962432;125774036992;28098978;353994810;1266;6
Luiz;21/08/2026 14:15:47;1.6;8;16;5.6;0.6;6.0;0.6;2.5;0.3;3.4;0.3;3.1;2.2;1.6;1.6;13.3;0.3;4.7;0.9;16129032192;7929577472;2147479552;0;1;264;1006450962432;125774041088;28102418;354010487;1266;6
Luiz;21/08/2026 14:15:51;0.9;8;16;4.6;0.0;4.7;0.3;1.9;0.3;2.5;0.0;3.8;1.6;2.2;0.9;10.5;0.3;5.7;1.6;16129032192;7927742464;2147479552;0;1;264;1006450962432;125774041088;28109215;354037654;1268;6
Luiz;21/08/2026 14:15:54;0.6;8;16;5.3;0.6;8.5;1.9;3.5;0.6;3.4;3.1;4.7;1.6;2.5;3.4;14.0;0.6;6.6;4.1;16129032192;7926419456;2147479552;0;1;264;1006450962432;125774041088;28112749;354062830;1268;6
