usuario;timestamp;cpu_uso_geral;qtd_cpu_fisica;qtd_cpu_logica;cpu1;cpu2;cpu3;cpu4;cpu5;cpu6;cpu7;cpu8;cpu9;cpu10;cpu11;cpu12;cpu13;cpu14;cpu15;cpu16;ram_total;ram_uso;swap_total;swap_uso;proc_rodando;proc_esperando;disco_total;disco_uso;rede_enviada;rede_recebida;pacote_perdido_entrada;pacote_perdido_saida
Sophie;21/08/2026 14:14:59;46.4;4;8;49.2;40.0;60.0;53.8;49.2;51.5;32.3;32.3;null;null;null;null;null;null;null;null;8303452160;7177994240;10200547328;963158016;239;0;254971736064;202504462336;3640688;19406697;0;0
Sophie;21/08/2026 14:15:04;14.3;4;8;44.3;42.1;52.2;38.7;29.9;23.1;29.9;17.2;null;null;null;null;null;null;null;null;8303452160;7177666560;10200547328;963158016;239;0;254971736064;202504724480;3660749;19439685;0;0
Sophie;21/08/2026 14:15:10;14.7;4;8;37.3;33.5;45.9;29.4;25.1;8.6;5.6;6.2;null;null;null;null;null;null;null;null;8303452160;7130836992;10200547328;963158016;239;0;254971736064;202504986624;3676587;19473537;0;0
Sophie;21/08/2026 14:15:15;13.6;4;8;37.9;40.1;41.2;42.3;22.1;8.9;11.4;6.6;null;null;null;null;null;null;null;null;8303452160;7113838592;10200547328;963158016;239;0;254971736064;202505183232;3688108;19498080;0;0
Sophie;21/08/2026 14:15:20;15.4;4;8;48.4;43.6;38.6;43.7;11.0;8.1;10.8;5.4;null;null;null;null;null;null;null;null;8303452160;7118925824;10200547328;963158016;239;0;254971736064;202505379840;3703132;19526795;0;0
Sophie;21/08/2026 14:15:26;25.2;4;8;44.8;46.2;47.3;41.9;18.3;12.3;10.2;6.6;null;null;null;null;null;null;null;null;8303452160;7192784896;10200547328;963158016;239;0;254971736064;202505637888;3735226;19576446;0;0
Sophie;21/08/2026 14:15:32;34.8;4;8;53.0;41.6;57.6;53.1;46.2;41.6;33.9;31.4;null;null;null;null;null;null;null;null;8303452160;7239553024;10200547328;963158016;239;0;254971736064;202505838592;3772555;19699418;0;0
Sophie;21/08/2026 14:15:38;26.1;4;8;45.3;40.4;48.8;42.0;28.2;26.3;20.6;13.8;null;null;null;null;null;null;null;null;8303452160;7240437760;10200547328;963026944;239;0;254971736064;202506149888;3809622;19798457;0;0
Sophie;21/08/2026 14:15:44;22.3;4;8;44.7;39.6;42.2;46.2;24.5;15.7;9.9;6.8;null;null;null;null;null;null;null;null;8303452160;7130193920;10200547328;963026944;239;0;254971736064;202506346496;3825653;19850830;0;0
Sophie;21/08/2026 14:15:49;26.4;4;8;44.2;37.7;48.6;43.3;26.9;21.0;24.2;17.7;null;null;null;null;null;null;null;null;8303452160;7118635008;10200547328;963026944;239;0;254971736064;202506670080;3841570;19888244;0;0
